site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
195,4.927256743113333,52.35259755453333,3,26589.28269200003,170449.94509149215,6.403155045442431,490.7313489855627,16208.238384523163
196,4.86780023575,52.3556365967,3,2649.333333333333,16955.733333333337,2.1333333333333337,542.3655254434033,18437.087500938924
197,4.80075311661,52.3453788757,1,8389.113003478544,53829.59115360866,6.404732568163645,399.0915625968775,11583.92094380316
198,4.86570310593,52.3439941406,1,7408.879629629628,47419.4962962963,6.400181679976731,399.08309755369726,11583.558136020332
200,4.903254985809999,52.40946006775,2,10564.666666666664,67613.86666666668,6.400000000000004,436.8416076869096,13547.510612852531
201,4.9217774868,52.3573036194,2,9811.056685042942,62790.76278427483,3.2000000000000006,432.2242029605652,13970.95464885391
202,4.888559579845,52.387960434,2,872.8333333333329,5586.133333333333,3.2000000000000024,451.9366400880924,14148.538348648308
203,4.85191297531,52.3725585938,1,5227.083333333332,33453.33333333334,6.400000000000004,399.2578635623684,11591.04814547206
204,4.9022835095733335,52.3441632589,3,21321.55668504294,136457.96278427483,4.266666666666668,498.1524433862896,18086.11139420203
205,4.84797811508,52.3721847534,1,8389.113003478544,53829.59115360866,6.404732568163645,399.2555742795713,11590.950038002007
206,4.87131023407,52.3796768188,1,3905.0532258064495,25153.24731182796,6.411499627469543,399.3014635829896,11592.916602774882
207,4.88656616211,52.3757553101,2,674.7916666666663,4316.0,3.3125636142400974,399.2774414530272,11591.887152418649
208,4.82970285416,52.3564491272,1,16778.226006957088,107659.18230721731,6.404732568163645,399.1592626179612,11586.822467632246
209,4.894913434985,52.3527584076,2,2983.0282435089416,18930.047425123896,3.189994292393613,514.107173913468,18562.2446701056
211,4.92391204834,52.3626403809,1,673.1249999999998,4303.466666666666,6.623996611420914,399.1971455854952,11588.446023859851
212,4.8028652668,52.381540298450005,2,26956.726006957084,172801.58230721735,6.4023662840818245,417.5719554394143,12472.087916726625
213,4.9005022049,52.3873634338,1,4723.416666666666,30229.866666666672,6.400000000000004,399.3485668422584,11594.935133843852
216,4.87451791763,52.3799057007,1,5104.791666666666,32670.66666666667,6.400000000000005,399.3028658345949,11592.976694753874
217,4.7909488678,52.3634719849,1,8389.113003478544,53829.59115360866,6.404732568163645,399.2022351092124,11588.664143561342
219,4.91184997559,52.3533096313,1,9811.056685042942,62790.76278427483,6.400000000000001,399.1400583031293,11585.999410982253
220,4.89235115051,52.4243812561,1,10641.583333333332,68106.13333333336,6.400000000000004,399.5757276943825,11604.668917975758
221,4.80365800858,52.3468475342,1,542.8125017224495,3546.266677690346,6.405279340082494,399.1005414719871,11584.305772144671
222,4.9109749794,52.3477935791,2,21654.971974699023,138870.35650076572,6.4023662840818245,399.10632570321343,11584.55367915198
223,4.90104293823,52.3490104675,1,5204.541666666666,33309.06666666667,6.400000000000004,399.1137664055319,11584.872579764551
225,4.98616671562,52.31991386415,2,5749.383928571428,73017.17589285714,6.35,529.8735127517189,17543.49181064095
230,4.94359779358,52.4010734558,1,1491.7851307189535,9614.891503267974,6.460094042223504,399.4326374758046,11598.53769576778
232,4.86134719849,52.3410987854,1,11375.916666666664,72805.86666666668,6.400000000000004,399.0654002844155,11582.799633250215
233,4.85452890396,52.377658844,1,9608.062499999998,61491.60000000001,6.400000000000004,399.28910126440064,11592.386826779804
234,4.94070911407,52.359413147,1,8389.113003478544,53829.59115360866,6.404732568163645,399.1773969981618,11587.59966027487
