site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
1820,4.92159605026,52.3717498779,1,5581.800925925924,35723.52592592593,6.400000000000004,399.2529113031169,11590.835915730147
1821,4.90535783768,52.3713989258,1,9510.583333333332,60867.73333333335,6.400000000000004,399.2507622870455,11590.743819128213
1822,4.90717983246,52.3653678894,1,0.0,0.0,0.0,399.2138392784622,11589.161456178532
1823,4.941462516785,52.3517475128,2,77509.44633681187,496199.7244869418,6.402366284081824,430.5008427206009,13389.64706378846
1824,4.89565706253,52.3493690491,1,0.0,0.0,0.0,399.1159590709378,11584.966554794584
1825,4.87298297882,52.3780097961,1,10334.154947916666,66138.59166666669,6.400000000000004,399.29125112151735,11592.47895723348
1826,4.926577091216667,52.366582234733336,6,1010.6808114035083,6525.746666666666,1.074631921545229,445.2100055595552,14699.101770480564
1827,4.91736507416,52.3571853638,1,8389.113003478544,53829.591153608664,6.404732568163645,399.1637667258277,11587.01550283302
1828,4.997569561004999,52.3571510315,2,3892.7225609756088,24913.4243902439,3.200000000000002,405.7668953839997,12098.48299769755
1829,4.90496778488,52.3612174988,1,0.0,0.0,0.0,399.188437975199,11588.072843790038
1830,4.87900590897,52.3722343445,1,0.0,0.0,0.0,399.25587795747015,11590.96305216141
1831,4.92830991745,52.3652000427,1,694.9951586804464,4414.295914469765,6.388312461189489,399.2128118934667,11589.11742632647
1832,4.85212898254,52.3514328003,1,0.0,0.0,0.0,399.1285795174136,11585.507449695211
1833,4.87662506104,52.3540840149,1,0.0,0.0,0.0,399.1447948635727,11586.202410922924
1834,4.93045806885,52.3626556396,1,9811.056685042942,62790.76278427483,6.400000000000001,399.1972389682817,11588.450025942431
1835,4.89105415344,52.4040336609,1,5589.469362745097,35772.60392156863,6.400000000000004,399.45079908106135,11599.315925535822
1836,4.96389722824,52.3195724487,1,8389.113003478544,53829.591153608664,6.404732568163645,398.9339251798619,11577.164370066086
1837,4.874565362929999,52.3543586731,2,8389.113003478544,53829.591153608664,3.2023662840818226,533.3030832087898,18425.723219129955
1838,4.85742902756,52.3579063416,1,0.0,0.0,0.0,399.16817768512703,11587.20454543968
1839,4.938865423205,52.3488922119,2,65978.79166666666,422264.2666666666,3.1999999999999997,442.3215134665892,14834.8816227254
1840,4.89185714722,52.4005622864,1,0.0,0.0,0.0,399.42950166455154,11598.403324506811
1841,4.94258785248,52.3499488831,1,0.0,0.0,0.0,399.1195047628052,11585.118518635682
1842,4.93676900864,52.3524513245,1,19622.113370085885,125581.52556854967,6.400000000000001,399.1348086930108,11585.774422027484
1843,4.95691680908,52.3917503357,1,0.0,0.0,0.0,399.3754597372698,11596.087557738074
1844,4.95390796661,52.3169784546,1,0.0,0.0,0.0,398.91809391961016,11576.485782808595
1845,4.90141010284,52.3484230042,1,673.0416666666663,4304.266666666666,6.6248360546858365,399.11017427178575,11584.718624905105
1846,4.96148395538,52.3889427185,1,0.0,0.0,0.0,399.3582474336348,11595.349972171764
1847,4.93568611145,52.3453674316,1,9811.056685042942,62790.76278427483,6.400000000000001,399.09149263496727,11583.917945263664
1848,4.84930181503,52.3799057007,1,5082.499999999999,32528.000000000007,6.400000000000004,399.3028658345585,11592.97669475282
1849,4.89225292206,52.3622398376,2,8389.113003478544,53829.591153608664,3.2023662840818226,399.1946943024408,11588.340970007384
1850,4.80431604385,52.3448638916,1,16778.226006957088,213083.47028835496,12.699999999999998,399.0884143541493,11583.786011814404
1851,4.85189914703,52.3616142273,2,4788.583333333333,30646.93333333334,3.200000000000002,399.1908657552213,11588.176890796298
1852,4.87644577026,52.3672142029,1,0.0,0.0,0.0,399.2251412403185,11589.645813921608
1853,4.92014980316,52.3995018005,1,9845.906249999998,63013.80000000001,6.400000000000004,399.4229963403537,11598.124566964256
1854,4.91485500336,52.3599357605,1,9811.056685042942,62790.76278427483,6.400000000000001,399.1805947845453,11587.73670824339
1855,4.85943222046,52.3605232239,1,0.0,0.0,0.0,399.1841895023184,11587.890767238416
1856,4.91041088104,52.3617858887,1,0.0,0.0,0.0,399.1919162575386,11588.2219119872
1857,4.88150978088,52.3748092651,1,0.0,0.0,0.0,399.2716471107127,11591.63883797152
1858,4.91263389587,52.3499412537,1,9811.056685042942,62790.76278427483,6.400000000000001,399.11945810873175,11585.116519140343
1859,4.915374994275,52.3440513611,2,15039.096760476536,96250.21926704986,6.400000000000004,407.6182338911742,12003.410404714434
1860,4.85678911209,52.3461914062,1,0.0,0.0,0.0,399.0965300269928,11584.133844671282
1861,4.82835292816,52.3790092468,1,634.1233478767376,4007.417661705241,6.380074434596876,399.2973737972765,11592.741339162494
1862,4.97461509705,52.2975959778,1,8389.113003478544,53829.591153608664,6.404732568163645,398.7998828895475,11571.41860643868
1863,4.94189691544,52.3738555908,1,0.0,0.0,0.0,399.26580638842177,11591.388535043132
1864,4.88284397125,52.360332489,1,8389.113003478544,53829.591153608664,6.404732568163645,399.1830223712154,11587.840747463651
1865,4.88931798935,52.3310089111,1,8389.113003478544,53829.591153608664,6.404732568163645,399.0037529737414,11580.157373221096
1866,4.81237983704,52.3775482178,1,9811.056685042942,62790.76278427483,6.400000000000001,399.2884236025241,11592.357786077651
1867,4.88215303421,52.3328323364,1,10789.916666666664,137031.94166666662,12.7,399.0148908994256,11580.63476225117
1868,4.92125606537,52.3710746765,1,5277.041666666666,33773.06666666667,6.400000000000004,399.24877682550544,11590.658731587178
1869,4.87292718887,52.3530654907,1,5184.583333333332,33181.33333333334,6.400000000000004,399.1385650527473,11585.935412982177
1870,4.88447904587,52.370098114,1,10955.249999999996,70113.60000000002,6.400000000000004,399.242797325248,11590.402477774942
1871,4.93762207031,52.354019165,1,8389.113003478544,53829.591153608664,6.404732568163645,399.1443981983075,11586.185410604628
